fov,hub_id,hub_uid,nucleus_id,radius_start_nm,radius_end_nm,radius_center_nm,bin_index,h3k27ac_sum_intensity,h3k27ac_mean_intensity,h3k27ac_median_intensity,expected_h3k27ac_sum_intensity,local_h3k27ac_mean,spen_sum_intensity,spen_mean_intensity,spen_median_intensity,expected_spen_sum_intensity,local_spen_mean,local_reference_pixel_count,h3k27ac_rdf_local_norm,spen_rdf_local_norm,pixel_count,spotiflow_intensity,nucleus_spen_median,nucleus_h3k27ac_mean
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,235,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00235,4,450.0,550.0,500.0,9,82731165.5,899251.7989130435,850036.0625,84100476.60797298,914135.6153040541,1068542.8203125,11614.595872961956,11369.56591796875,1065464.307816723,11581.133780616554,925,0.9837181528190868,1.0028893623870756,92,13775.3154296875,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,235,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00235,4,500.0,600.0,550.0,10,90271556.4375,902715.564375,860672.0625,91413561.53040542,914135.6153040541,1195982.8779296875,11959.828779296875,11564.12451171875,1158113.3780616554,11581.133780616554,925,0.9875072683550835,1.0326993026636258,100,13775.3154296875,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,235,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00235,4,550.0,650.0,600.0,11,98040761.9375,907784.8327546297,873823.5,98726646.45283784,914135.6153040541,1311644.3447265625,12144.855043764468,11710.2734375,1250762.4483065878,11581.133780616554,925,0.9930526910415671,1.0486758268945497,108,13775.3154296875,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,235,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00235,4,600.0,700.0,650.0,12,95171611.4375,915111.6484375,887110.6875,95070103.99162163,914135.6153040541,1259884.6259765625,12114.275249774639,11772.18408203125,1204437.9131841217,11581.133780616554,925,1.0010677115267206,1.046035343279637,104,13775.3154296875,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,235,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00235,4,650.0,750.0,700.0,13,121665729.875,921710.0748106061,909000.03125,120665901.22013514,914135.6153040541,1572685.7587890625,11914.286051432291,11587.7236328125,1528709.6590413852,11581.133780616554,925,1.00828592539197,1.0287668096342464,132,13775.3154296875,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,235,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00235,4,700.0,800.0,750.0,14,144168757.0,924158.6987179487,922158.90625,142605155.98743245,914135.6153040541,1830797.4921875,11735.881360176281,11433.0693359375,1806656.8697761823,11581.133780616554,925,1.0109645475420632,1.0133620405817891,156,13775.3154296875,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,235,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00235,4,750.0,850.0,800.0,15,136600874.625,922978.8826013514,928296.53125,135292071.065,914135.6153040541,1702465.9140625,11503.148067989865,11220.00830078125,1714007.79953125,11581.133780616554,925,1.0096739117798796,0.9932661418040767,148,13775.3154296875,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,235,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00235,4,800.0,900.0,850.0,16,143198491.875,917939.0504807692,932232.78125,142605155.98743245,914135.6153040541,1763106.1396484375,11301.96243364383,10842.24169921875,1806656.8697761823,11581.133780616554,925,1.0041606902882239,0.9758942991022196,156,13775.3154296875,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,235,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00235,4,850.0,950.0,900.0,17,149523011.25,911725.6783536585,932707.15625,149918240.90986487,914135.6153040541,1829782.8701171875,11157.212622665778,10362.79345703125,1899305.940021115,11581.133780616554,925,0.9973636986569067,0.9633955391603974,164,13775.3154296875,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,235,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00235,4,900.0,1000.0,950.0,18,158485806.84375,900487.5388849432,950106.40625,160887868.29351354,914135.6153040541,1932364.412109375,10979.343250621449,10317.8623046875,2038279.5453885135,11581.133780616554,925,0.9850699653414429,0.9480369934934758,176,13775.3154296875,7236.885498046875,1548267.8988573803
