condition,results_dir,pcf_type,r_center_nm,mean_G,sem_G,n_nuclei,color
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,690.0,0.940506093567367,0.0329411263182108,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,710.0,0.9437856678907364,0.0325561371509561,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,730.0,0.9466955520101528,0.0320157189232141,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,750.0,0.949241080984978,0.0314373091310415,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,770.0,0.951598475083102,0.0308323408943486,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,790.0,0.95380827955569,0.0302319035678834,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,810.0,0.9559486246122972,0.0296565202321853,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,830.0,0.958118284917376,0.0292004147562658,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,850.0,0.9603375975579034,0.0288801542320207,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,870.0,0.962470030421636,0.0286590723448008,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,890.0,0.9646632982935806,0.0285510770597013,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,910.0,0.9667768102065524,0.0285255682675665,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,930.0,0.9688048895386778,0.0285281031462601,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,950.0,0.9706484365018296,0.0284820077090936,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,970.0,0.9723656777636088,0.028412866431007,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,990.0,0.9738487071674636,0.0283531480073314,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,1010.0,0.975176992843352,0.0282972790747284,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,1030.0,0.9764434319659078,0.0282955367411314,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,1050.0,0.9777065518860116,0.0283469936841322,8,#0072B2
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,50.0,0.9874002668806202,0.0227704544515478,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,70.0,0.99254315396402,0.0226339695332522,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,90.0,0.9969612842258886,0.0225473484060263,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,110.0,0.9990218099635731,0.0224128021244573,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,130.0,0.9985317044344022,0.0222643494222701,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,150.0,0.9955483894742508,0.0221058191486112,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,170.0,0.991079719988492,0.0219093818442019,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,190.0,0.9858390843372232,0.0216674436417133,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,210.0,0.9810090607718844,0.0213633402563317,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,230.0,0.9770099632064362,0.0209774785336903,10,#D55E00
